candidate_label,mean_knn_distance
ALB_Plate011_2_006016,0.0014708877
ALB_Plate023_2_006005,0.0014659226
ALB_Plate022_2_008002,0.001464057
AEC_Plate027_012017,0.0014606655
AHA_Plate010_005007,0.001459372
ALB_Plate017_001011,0.0014576673
AHA_Plate010_007007,0.0014564693
AEB_Plate044_016024,0.0014474809
AEB_Plate002_016024,0.001443243
AHA_Plate001_2_015003,0.0014389455
ALB_Plate023_2_008002,0.001437533
AHA_Plate002_007018,0.0014364005
AHA_Plate007_2_006020,0.0014363944
ALB_Plate023_2_001008,0.0014352441
AHA_Plate011_1_003002,0.001432395
AEC_Plate002_005002,0.001428777
AEB_Plate043_014005,0.0014232993
AHA_Plate007_1_005005,0.0014217973
ALB_Plate023_2_007013,0.001416564
AEC_Plate032_016001,0.0014158667
AHA_Plate001_1_003023,0.0014108121
AHA_Plate001_2_015011,0.0014086962
AHA_Plate007_1_012020,0.0014064312
ALB_Plate003_004001,0.0014025688
ALB_Plate021_006001,0.0014000952
ALB_Plate023_2_010019,0.001399237
AEB_Plate056_006001,0.0013987779
AEB_Plate024_012014,0.001392585
AHA_Plate004_005024,0.0013840258
ALB_Plate001_2_001014,0.0013739407
ALB_Plate023_1_003011,0.0013687909
AHA_Plate001_1_016001,0.001366955
ALB_Plate022_2_014024,0.0013607859
AEC_Plate002_014001,0.0013538658
AHA_Plate011_1_015001,0.0013508201
ALB_Plate022_2_014001,0.0013505518
ALB_Plate011_2_005012,0.0013468445
AEB_Plate032_004013,0.0013458788
ALB_Plate002_1_016023,0.0013458133
ALB_Plate024_016024,0.0013441801
AHA_Plate002_005022,0.0013418794
ALB_Plate002_2_004002,0.0013408602
AEB_Plate027_016004,0.001337558
AEB_Plate021_004002,0.0013331115
AHA_Plate009_1_015007,0.0013324439
ALB_Plate023_2_016002,0.0013275743
AHA_Plate008_013006,0.0013270974
ALB_Plate023_2_014017,0.0013190508
AEB_Plate002_016023,0.0013182461
AHA_Plate007_2_001022,0.0013180434
ALB_Plate023_2_016023,0.0013179302
AEB_Plate001_002013,0.0013172865
AEB_Plate042_002017,0.0013172745
AEB_Plate008_006001,0.0013137996
ALB_Plate003_002003,0.0013130307
ALB_Plate022_1_005023,0.0013127744
AEC_Plate016_004001,0.0013108909
AEB_Plate023_010023,0.0013093114
AEB_Plate035_2_016017,0.0013074517
AEB_Plate007_004004,0.0013062775
AHA_Plate001_1_010013,0.0013052464
ALB_Plate022_1_005002,0.0013014376
ALB_Plate002_2_013020,0.0012944341
AEC_Plate030_1_014023,0.00128932
AHA_Plate010_001003,0.0012883723
AHA_Plate001_1_005023,0.0012864291
ALB_Plate025_005023,0.00128479
AHA_Plate001_2_005021,0.0012773157
ALB_Plate021_005024,0.001275283
AEB_Plate044_005023,0.0012741626
AHA_Plate005_016023,0.0012739717
ALB_Plate002_1_005011,0.0012739539
ALB_Plate024_002022,0.0012726604
AEB_Plate023_013023,0.0012703955
AEB_Plate021_004023,0.001269412
AHA_Plate001_1_005021,0.0012687861
AHA_Plate009_2_004001,0.0012659908
AEC_Plate003_003008,0.0012657822
AEC_Plate026_2_004024,0.0012636005
ALB_Plate004_011004,0.0012599528
ALB_Plate001_1_016001,0.0012577295
AHA_Plate001_2_010013,0.0012554169
ALB_Plate022_2_001008,0.0012533187
AEC_Plate017_004023,0.0012491525
AEB_Plate018_007017,0.0012490153
ALB_Plate023_2_005002,0.0012485266
ALB_Plate021_004013,0.0012478412
AHA_Plate011_1_004002,0.0012476027
ALB_Plate023_2_016001,0.001246345
ALB_Plate022_2_006021,0.0012432575
AEB_Plate020_005024,0.001237601
ALB_Plate001_1_001014,0.0012353838
ALB_Plate002_2_012011,0.0012302876
AEB_Plate019_014023,0.0012278438
AHA_Plate001_2_011005,0.001227498
AEB_Plate014_010016,0.0012256622
AHA_Plate001_2_005010,0.0012248338
AEC_Plate028_005002,0.0012215078
ALB_Plate001_1_016023,0.0012176335
AEB_Plate023_003024,0.001213622
AEC_Plate002_005024,0.0012133181
AHA_Plate004_013024,0.0012110055
