"well_index","Plate001","Plate002","Plate003","Plate004","Plate005","Plate006","Plate007","Plate008","Plate010","Plate009","Plate011"
"012002","HES_5","HES_5","HES_5","HES_5","HES_5","HES_5","HES_5","HES_5","HES_5","?","?"
"012003","Ramelteon","Fluvastatin Sodium","Cortisone acetate","Bornyl acetate","Pindolol","Pramipexole dihydrochloride","Dichlorophene","Dipotassium glycyrrhizinate","?","DL-Glutamine","?"
"012004","Amprenavir","Cinchonidine","Brinzolamide","Penicillin G Sodium","Lauric Acid","Propylparaben","Hexetidine","Treosulfan","?","?","?"
"012005","Aniracetam","Phenindione","Tetracaine HCl","Hederacoside C","Acetazolamide","Xipamide","Midodrine hydrochloride","Scopolamine","?","Netilmicin Sulfate","?"
"012006","Zolmitriptan","Emodin","Ropinirole HCl","Teriflunomide","Anethole trithione","Parecoxib Sodium","Talniflumate","Liranaftate","?","?","?"
"012007","Cilnidipine","Metformin HCl","Brompheniramine hydrogen maleate","Nonivamide","Cefotaxime sodium","Azamethiphos","γ-Linolenic acid","ADP","?","Eprazinone 2HCl","?"
"012008","Isradipine","Hesperidin","Iopromide","Climbazole","Dihydrotestosterone(DHT)","Triprolidine Hydrochloride","Apronal","Pleuromutilin","?","?","?"
"012009","Costunolide","Rimantadine","Gliclazide","(+)-Borneol","Fenofibric acid","Stachyose","Isoeugenol","Uridine 5'-monophosphate","?","Ribostamycin Sulfate","?"
"012010","Amorolfine HCl","Magnolol","Dehydrocostus Lactone","Sasapyrine","N-Acetylneuraminic acid","Vitexin-2-O-rhaMnoside","Permethrin","Pyrithioxin Dihydrochloride","?","?","?"
"012011","Flumazenil","Methscopolamine","Inulin","Lobeline hydrochloride","Salicylic acid","Hydroquinine","Fenoterol hydrobromide","Demecarium Bromide","?","Calcium Gluceptate","?"
"012012","Meprednisone","Orotic acid (6-Carboxyuracil)","Medroxyprogesterone","Tolperisone HCl","Cefuroxime axetil","Molindone hydrochloride","Pinaverium bromide","Alverine","?","?","?"
"012013","Lansoprazole","Elvitegravir (GS-9137, JTK-303)","Clinofibrate","Nordihydroguaiaretic acid (NDGA)","Azelaic acid","Citral","Montelukast","Madecassic acid","?","Eprodisate disodium","?"
"012014","Divalproex Sodium","Rotenone (Barbasco)","Kitasamycin","Benzocaine","Tolmetin","Disopyramide","Triethylenetetramine Dihydrochloride","Imeglimin (EMD 387008) Hydrochloride","?","?","?"
"012015","Doripenem Hydrate","Benidipine HCl","Niraparib (MK-4827)","(+)-α-Lipoic acid","Diatrizoic acid","Chlorotetracycline","pyrvinium","Bepridil hydrochloride","?","4-Aminobutyric acid","?"
"012016","Glipizide","Synephrine","Afloqualone","Piperacillin Sodium","Laurocapram","Hydrocortisone acetate","Embelin","?","?","?","?"
"012017","Mosapride Citrate","Fenticonazole Nitrate","Sofosbuvir (PSI-7977, GS-7977)","Acebutolol HCl","Sulfabenzamide","Nilotinib hydrochloride","Cariprazine HCl","Ozenoxacin","?","VitaMin U","?"
"012018","Levonorgestrel","Aloin","Sulfaphenazole","Pilocarpine HCl","Flucloxacillin sodium","Salmeterol","Glasdegib (PF-04449913)","?","?","?","?"
"012019","Resveratrol","Memantine HCl","Baricitinib (LY3009104, INCB028050)","Tolcapone","Docusate Sodium","Imidocarb dipropionate","DL-Menthol","Etofenamate","?","Fosfomycin Disodium","?"
"012020","Prednisolone","Hematoxylin","Urea","Serotonin HCl","Squalene","Tropisetron","Puromycin 2HCl","?","?","?","?"
"012021","Bimatoprost","Gimeracil","S-Ruxolitinib (INCB018424)","Vitamin D2","Lercanidipine hydrochloride","Isosorbide dinitrate","Canagliflozin hemihydrate","Irisflorentin","?","Nylidrin Hydrochloride","?"
"012022","Nimodipine","Salidroside","Benactyzine hydrochloride","Quinacrine 2HCl","Cefazedone","Ethyl gallate","Darolutamide (ODM-201)","?","?","?","?"
"012023","HES_5","HES_5","HES_5","HES_5","HES_5","HES_5","HES_5","HES_5","HES_5","?","?"
"012024","HES_5","HES_5","HES_5","HES_5","HES_5","HES_5","HES_5","HES_5","HES_5","?","?"
"013001","MEN_40","MEN_40","MEN_40","MEN_40","MEN_40","MEN_40","MEN_40","MEN_40","MEN_40","?","?"
"013002","MEN_40","MEN_40","MEN_40","MEN_40","MEN_40","MEN_40","MEN_40","MEN_40","MEN_40","?","?"
"013003","Bosutinib (SKI-606)","Quetiapine Fumarate","Synephrine HCl","Lifitegrast","Brimonidine Tartrate","Menbutone","Ethacrynic Acid","Picropodophyllin (PPP)","Prazosin HCl","Pamidronate Disodium","Hydralazine HCl"
"013004","Tamsulosin hydrochloride","Moxonidine","Zaltoprofen","Pheniramine Maleate","Mebendazole","Entecavir","Alvimopan","Pneumocandin B0","?","β-Alanine","?"
"013005","Nilotinib (AMN-107)","Toremifene Citrate","Benserazide HCl","Velpatasvir","Demeclocycline HCl","Proxyphylline","Tilmicosin phosphate","Erlotinib","Torsemide","Teicoplanin","Icatibant Acetate"
"013006","Ziprasidone HCl","Moexipril HCl","Bufexamac","Spironolactone","Alcaftadine","Revefenacin","Fingolimod","Triptonide","?","L-lysine","?"
"013007","Enzastaurin (LY317615)","Rifaximin","Domperidone","Boceprevir","Chloroambucil","Benzamidine HCl","(1S)-(-)-α-Pinene","Dibutyryl-cAMP (Bucladesine)","Meclizine 2HCl","L-Glutamine","?"
"013008","Alfacalcidol","Dexmedetomidine HCl","Bepotastine Besilate","cholecalciferol (Vitamin D3)","Cyproheptadine hydrochloride","Adenosine 5'-monophosphate monohydrate","Isonicotinic acid","2-Aminoethyl Diphenylborinate (2-APB)","?","Edetate Trisodium","?"
"013009","Everolimus (RAD001)","Acipimox","Lincomycin HCl","Levothyroxine sodium","Mupirocin","Sulfalene(SMPZ)","Bedaquiline","Ripasudil (K-115) hydrochloride dihydrate","(-)-Huperzine A (HupA)","ATP disodium","?"
"013010","Pralatrexate","Rasagiline Mesylate","Azelnidipine","Zinc Pyrithione","Cefmenoxime hydrochloride","Lincomycin Hydrochloride Monohydrate","β-Caryophyllene","o-Phenanthroline","?","Thiamine pyrophosphate hydrochloride","?"
"013011","Valproic acid sodium salt (Sodium valproate)","Erdosteine","Nateglinide","Cinnamaldehyde","Bromocriptine Mesylate","Tavaborole (AN-2690)","Iguratimod","Macitentan","Mozavaptan","Gabapentin","?"
"013012","Tadalafil","Dronedarone HCl","Chlorhexidine?2HCl","Vitamin A Acetate","Eslicarbazepine Acetate","Pyridoxal phosphate","Terpinen-4-ol","Vindesine sulfate","?","Diquafosol Tetrasodium","?"
"013013","Raltitrexed","Azithromycin","Propafenone HCl","cis-Anethole","Medrysone","Delamanid","Ertapenem sodium","Sivelestat (ONO-5046)","Nuciferine","Methacycline HCl","?"
"013014","Nebivolol HCl","Naftopidil","Etravirine (TMC125)","Pramoxine HCl","Sivelestat sodium tetrahydrate","Ceftezole sodium","Dimethylamine hydrochloride","Clascoterone","?","Bivalirudin Trifluoroacetate","?"
"013015","Bisoprolol fumarate","Daidzein","Sotalol HCl","Gentisic acid","Pentoxifylline","Oxyclozanide","Moxisylyte hydrochloride","Erdafitinib (JNJ-42756493)","Folic acid","Zanamivir","?"
"013016","Candesartan","Bazedoxifene Acetate","Vitamin C","Diminazene Aceturate","Povidone iodine","Cefminox Sodium","Triethyl citrate","Irinotecan","?","Salmon Calcitonin Acetate","?"
"013017","Clofarabine","Dapoxetine HCl","Epinephrine bitartrate","Quercitrin","Cinoxacin","Mephenesin","Isoproterenol sulfate dihydrate","Sodium dichloroacetate (DCA)","Balofloxacin Dihydrate","(R)-baclofen","?"
"013018","Rizatriptan Benzoate","Formestane","Sulfamerazine","Triclabendazole","Deoxycholic acid","Pikamilone","N-Acetylglucosamine","Pyrazole","?","Goserelin Acetate","?"
"013019","2-Methoxyestradiol (2-MeOE2)","Deflazacort","Miconazole","Camphor","Aceclidine HCl","Bevantolol hydrochloride","Alvimopan dihydrate","Malic acid","Gefitinib hydrochloride","Thiamine HCl (Vitamin B1)","?"
